ProvinceId,ProvinceName,CountryId
1,dolnośląskie,1
2,kujawsko-pomorskie,1
3,lubelskie,1
4,lubuskie,1
5,łódzkie,1
6,małopolskie,1
7,mazowieckie,1
8,opolskie,1
9,podkarpackie,1
10,podlaskie,1
11,pomorskie,1
12,śląskie,1
13,świętokrzyskie,1
14,warmińsko-mazurskie,1
15,wielkopolskie,1
16,zachodniopomorskie,1
17,Badenia-Wirtembergia,2
18,Bawaria,2
19,Berlin,2
20,Brandenburgia,2
21,Brema,2
22,Dolna Saksonia,2
23,Hamburg,2
24,Hesja,2
25,Meklemburgia-Pomorze Przednie,2
26,Nadrenia Północna-Westfalia,2
27,Nadrenia-Palatynat,2
28,Saara,2
29,Saksonia,2
30,Saksonia-Anhalt,2
31,Szlezwik-Holsztyn,2
32,Turyngia,2
33,Appenzell Ausserrhoden,3
34,Appenzell Innerrhoden,3
35,Argowia,3
36,Bazylea-Miasto,3
37,Bazylea-Okręg,3
38,Berno,3
39,Fryburg,3
40,Genewa,3
41,Glarus,3
42,Gryzonia,3
43,Jura,3
44,Lucerna,3
45,Neuchâtel,3
46,Nidwalden,3
47,Obwalden,3
48,Schwyz,3
49,Solura,3
50,St. Gallen,3
51,Szafuza,3
52,Ticino,3
53,Turgowia,3
54,Uri,3
55,Valais,3
56,Vaud,3
57,Zug,3
58,Zurych,3
